CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_matplotlib.py
MEM 1.464844 1644774598.5286
MEM 17.542969 1644774598.6327
MEM 27.847656 1644774598.7448
MEM 35.023438 1644774598.8559
MEM 44.671875 1644774598.9680
MEM 59.785156 1644774599.0791
MEM 67.339844 1644774599.1912
MEM 96.652344 1644774599.3023
MEM 204.785156 1644774599.4134
MEM 227.953125 1644774599.5255
MEM 227.953125 1644774599.6370
MEM 227.953125 1644774599.7481
MEM 228.101562 1644774599.8601
MEM 228.101562 1644774599.9721
MEM 228.101562 1644774600.0832
MEM 228.101562 1644774600.1931
MEM 228.710938 1644774600.3042
MEM 228.710938 1644774600.4161
MEM 228.710938 1644774600.5280
MEM 228.710938 1644774600.6380
MEM 228.710938 1644774600.7481
MEM 228.710938 1644774600.8571
MEM 228.710938 1644774600.9671
MEM 228.710938 1644774601.0792
MEM 237.839844 1644774601.1901
MEM 363.195312 1644774601.3011
MEM 369.355469 1644774601.4121
MEM 369.355469 1644774601.5231
MEM 369.363281 1644774601.6340
MEM 369.636719 1644774601.7440
MEM 369.636719 1644774601.8561
MEM 369.636719 1644774601.9661
MEM 377.171875 1644774602.0771
MEM 369.953125 1644774602.1880
MEM 369.953125 1644774602.2981
MEM 369.953125 1644774602.4081
MEM 369.953125 1644774602.5201
MEM 369.976562 1644774602.6311
MEM 369.976562 1644774602.7422
MEM 369.976562 1644774602.8533
MEM 369.976562 1644774602.9654
MEM 421.355469 1644774603.0775
MEM 509.238281 1644774603.1886
MEM 509.238281 1644774603.2997
MEM 509.238281 1644774603.4108
MEM 509.546875 1644774603.5229
MEM 509.546875 1644774603.6330
MEM 509.546875 1644774603.7451
MEM 509.546875 1644774603.8562
MEM 517.105469 1644774603.9683
MEM 509.855469 1644774604.0804
MEM 509.855469 1644774604.1925
MEM 509.855469 1644774604.3046
MEM 509.855469 1644774604.4157
MEM 509.859375 1644774604.5258
MEM 509.859375 1644774604.6369
MEM 509.859375 1644774604.7470
MEM 509.882812 1644774604.8581
MEM 595.968750 1644774604.9682
MEM 649.453125 1644774605.0793
MEM 649.453125 1644774605.1905
MEM 649.453125 1644774605.3005
MEM 649.761719 1644774605.4117
MEM 649.761719 1644774605.5228
MEM 649.761719 1644774605.6349
MEM 649.761719 1644774605.7460
MEM 650.019531 1644774605.8561
MEM 650.019531 1644774605.9682
MEM 650.019531 1644774606.0803
MEM 650.019531 1644774606.1894
MEM 650.019531 1644774606.2995
MEM 650.019531 1644774606.4096
MEM 650.019531 1644774606.5207
MEM 650.019531 1644774606.6318
MEM 650.628906 1644774606.7429
MEM 765.433594 1644774606.8540
MEM 790.253906 1644774606.9631
MEM 790.253906 1644774607.0742
MEM 790.253906 1644774607.1853
MEM 790.562500 1644774607.2974
MEM 790.562500 1644774607.4075
MEM 790.562500 1644774607.5186
MEM 790.562500 1644774607.6297
MEM 790.980469 1644774607.7408
MEM 790.980469 1644774607.8519
MEM 790.980469 1644774607.9640
MEM 790.980469 1644774608.0731
MEM 790.980469 1644774608.1842
MEM 790.980469 1644774608.2953
MEM 790.980469 1644774608.4064
MEM 790.980469 1644774608.5175
MEM 805.078125 1644774608.6266
MEM 930.667969 1644774608.7387
MEM 930.667969 1644774608.8508
MEM 930.667969 1644774608.9629
MEM 930.667969 1644774609.0720
MEM 931.343750 1644774609.1841
MEM 931.343750 1644774609.2952
MEM 931.343750 1644774609.4053
MEM 931.343750 1644774609.5164
MEM 931.796875 1644774609.6285
MEM 931.796875 1644774609.7406
MEM 931.796875 1644774609.8527
MEM 931.796875 1644774609.9648
MEM 931.796875 1644774610.0764
MEM 931.796875 1644774610.1875
MEM 931.796875 1644774610.2986
MEM 931.796875 1644774610.4097
MEM 956.539062 1644774610.5218
MEM 1068.777344 1644774610.6339
MEM 1068.777344 1644774610.7446
MEM 1068.777344 1644774610.8547
MEM 1068.777344 1644774610.9648
MEM 1071.625000 1644774611.0749
MEM 1071.625000 1644774611.1870
MEM 1071.625000 1644774611.2991
MEM 1079.230469 1644774611.4112
MEM 1072.062500 1644774611.5233
MEM 1072.062500 1644774611.6354
MEM 1072.062500 1644774611.7460
MEM 1072.062500 1644774611.8561
MEM 1072.062500 1644774611.9670
MEM 1072.062500 1644774612.0781
MEM 1072.062500 1644774612.1881
MEM 1072.062500 1644774612.2981
MEM 1081.003906 1644774612.4061
MEM 1198.296875 1644774612.5161
MEM 1211.648438 1644774612.6241
MEM 1211.648438 1644774612.7351
MEM 1211.648438 1644774612.8461
MEM 1196.371094 1644774612.9580
MEM 1212.425781 1644774613.0690
MEM 1212.425781 1644774613.1791
MEM 1212.425781 1644774613.2901
MEM 1212.800781 1644774613.4011
MEM 1212.863281 1644774613.5122
MEM 1212.863281 1644774613.6231
MEM 1212.863281 1644774613.7341
MEM 1212.863281 1644774613.8450
MEM 1212.863281 1644774613.9560
MEM 1212.863281 1644774614.0660
MEM 1212.863281 1644774614.1781
MEM 1219.507812 1644774614.2891
MEM 1324.777344 1644774614.4002
MEM 1352.230469 1644774614.5111
MEM 1352.230469 1644774614.6221
MEM 1352.230469 1644774614.7332
MEM 1352.414062 1644774614.8450
MEM 1352.414062 1644774614.9550
MEM 1352.414062 1644774615.0660
MEM 1352.414062 1644774615.1771
MEM 1352.851562 1644774615.2892
MEM 1352.851562 1644774615.4003
MEM 1352.851562 1644774615.5104
MEM 1352.851562 1644774615.6225
MEM 1352.914062 1644774615.7347
MEM 1352.914062 1644774615.8468
MEM 1352.914062 1644774615.9579
MEM 1352.914062 1644774616.0680
MEM 1146.707031 1644774616.1791
MEM 433.738281 1644774616.2912
MEM 130.792969 1644774616.4013
MEM 234.046875 1644774616.5094
MEM 234.046875 1644774616.6215
MEM 234.046875 1644774616.7336
MEM 234.054688 1644774616.8457
MEM 234.375000 1644774616.9578
MEM 234.375000 1644774617.0699
MEM 234.375000 1644774617.1820
MEM 234.375000 1644774617.2941
MEM 242.113281 1644774617.4052
MEM 234.820312 1644774617.5143
MEM 234.820312 1644774617.6254
MEM 234.820312 1644774617.7355
MEM 234.820312 1644774617.8476
MEM 234.820312 1644774617.9587
MEM 234.820312 1644774618.0678
MEM 234.820312 1644774618.1789
MEM 234.820312 1644774618.2910
MEM 242.617188 1644774618.4031
MEM 337.457031 1644774618.5132
MEM 372.125000 1644774618.6223
MEM 372.125000 1644774618.7314
MEM 372.125000 1644774618.8415
MEM 372.335938 1644774618.9536
MEM 374.046875 1644774619.0637
MEM 374.046875 1644774619.1748
MEM 374.046875 1644774619.2869
MEM 374.046875 1644774619.3980
MEM 374.523438 1644774619.5081
MEM 374.523438 1644774619.6182
MEM 374.523438 1644774619.7293
MEM 374.523438 1644774619.8414
MEM 374.523438 1644774619.9535
MEM 374.523438 1644774620.0656
MEM 374.523438 1644774620.1767
MEM 374.523438 1644774620.2878
MEM 374.621094 1644774620.3989
MEM 465.281250 1644774620.5100
MEM 513.453125 1644774620.6201
MEM 513.453125 1644774620.7312
MEM 513.453125 1644774620.8423
MEM 513.632812 1644774620.9544
MEM 513.632812 1644774621.0645
MEM 513.632812 1644774621.1746
MEM 513.632812 1644774621.2857
MEM 521.375000 1644774621.3978
MEM 514.078125 1644774621.5099
MEM 514.078125 1644774621.6190
MEM 514.078125 1644774621.7301
MEM 514.078125 1644774621.8412
MEM 514.078125 1644774621.9533
MEM 514.078125 1644774622.0644
MEM 514.078125 1644774622.1755
MEM 514.078125 1644774622.2866
MEM 583.257812 1644774622.3987
MEM 654.023438 1644774622.5098
MEM 654.023438 1644774622.6204
MEM 654.023438 1644774622.7315
MEM 654.175781 1644774622.8401
MEM 654.175781 1644774622.9507
MEM 654.175781 1644774623.0588
MEM 654.175781 1644774623.1699
MEM 661.863281 1644774623.2820
MEM 654.613281 1644774623.3941
MEM 654.613281 1644774623.5062
MEM 654.613281 1644774623.6173
MEM 654.613281 1644774623.7272
MEM 654.613281 1644774623.8383
MEM 654.613281 1644774623.9504
MEM 654.613281 1644774624.0625
MEM 654.613281 1644774624.1736
MEM 697.324219 1644774624.2807
MEM 793.042969 1644774624.3858
MEM 793.042969 1644774624.4979
MEM 793.042969 1644774624.6080
MEM 793.195312 1644774624.7191
MEM 793.195312 1644774624.8312
MEM 793.195312 1644774624.9423
MEM 793.195312 1644774625.0544
MEM 800.863281 1644774625.1655
MEM 793.632812 1644774625.2766
MEM 793.632812 1644774625.3867
MEM 793.632812 1644774625.4958
MEM 793.632812 1644774625.6059
MEM 793.632812 1644774625.7180
MEM 793.632812 1644774625.8291
MEM 793.632812 1644774625.9402
MEM 793.632812 1644774626.0493
MEM 832.214844 1644774626.1604
MEM 932.558594 1644774626.2715
MEM 932.558594 1644774626.3836
MEM 932.558594 1644774626.4947
MEM 932.718750 1644774626.6058
MEM 932.718750 1644774626.7159
MEM 932.718750 1644774626.8270
MEM 932.718750 1644774626.9381
MEM 940.367188 1644774627.0492
MEM 933.187500 1644774627.1593
MEM 933.187500 1644774627.2694
MEM 933.187500 1644774627.3795
MEM 933.187500 1644774627.4896
MEM 933.187500 1644774627.5997
MEM 933.187500 1644774627.7108
MEM 933.187500 1644774627.8219
MEM 933.187500 1644774627.9320
MEM 947.585938 1644774628.0431
MEM 1072.753906 1644774628.1532
MEM 1072.753906 1644774628.2633
MEM 1072.753906 1644774628.3744
MEM 1072.753906 1644774628.4865
MEM 1072.906250 1644774628.5966
MEM 1072.910156 1644774628.7077
MEM 1072.910156 1644774628.8188
MEM 1073.859375 1644774628.9289
MEM 1073.347656 1644774629.0410
MEM 1073.347656 1644774629.1521
MEM 1073.347656 1644774629.2642
MEM 1073.347656 1644774629.3753
MEM 1073.347656 1644774629.4874
MEM 1073.347656 1644774629.5995
MEM 1073.347656 1644774629.7116
MEM 1073.347656 1644774629.8227
MEM 1088.769531 1644774629.9318
MEM 1206.480469 1644774630.0409
MEM 1211.613281 1644774630.1500
MEM 1211.613281 1644774630.2601
MEM 1211.613281 1644774630.3712
MEM 1211.765625 1644774630.4833
MEM 1211.765625 1644774630.5924
MEM 1211.765625 1644774630.7025
MEM 1211.765625 1644774630.8146
MEM 1212.203125 1644774630.9247
MEM 1212.203125 1644774631.0368
MEM 1212.203125 1644774631.1479
MEM 1212.203125 1644774631.2580
MEM 1212.203125 1644774631.3701
MEM 1212.203125 1644774631.4802
MEM 1212.203125 1644774631.6124
MEM 1212.203125 1644774631.7185
MEM 1224.023438 1644774631.8296
MEM 1351.093750 1644774631.9407
MEM 1351.093750 1644774632.0528
MEM 1351.093750 1644774632.1629
MEM 1351.093750 1644774632.2745
MEM 1351.250000 1644774632.3836
MEM 1351.250000 1644774632.4957
MEM 1351.250000 1644774632.6058
MEM 1351.250000 1644774632.7159
MEM 1351.687500 1644774632.8270
MEM 1351.687500 1644774632.9376
MEM 1351.687500 1644774633.0487
MEM 1351.687500 1644774633.1598
MEM 1351.687500 1644774633.2689
MEM 1351.687500 1644774633.3790
MEM 1351.687500 1644774633.4891
MEM 1351.687500 1644774633.6012
MEM 1360.136719 1644774633.7133
MEM 1456.085938 1644774633.8244
MEM 1490.699219 1644774633.9365
MEM 1490.699219 1644774634.0480
MEM 1490.699219 1644774634.1601
MEM 1447.828125 1644774634.2722
MEM 1491.578125 1644774634.3844
MEM 1491.578125 1644774634.4934
MEM 1491.578125 1644774634.6056
MEM 1499.312500 1644774634.7177
MEM 1492.015625 1644774634.8288
MEM 1492.015625 1644774634.9409
MEM 1492.015625 1644774635.0510
MEM 1492.015625 1644774635.1631
MEM 1492.015625 1644774635.2752
MEM 1492.015625 1644774635.3873
MEM 1492.015625 1644774635.4994
MEM 1492.015625 1644774635.6115
MEM 1549.238281 1644774635.7236
MEM 1631.812500 1644774635.8337
MEM 1631.812500 1644774635.9448
MEM 1631.812500 1644774636.0569
MEM 1631.964844 1644774636.1670
MEM 1631.964844 1644774636.2791
MEM 1631.964844 1644774636.3892
MEM 1631.964844 1644774636.4973
MEM 1639.562500 1644774636.6044
MEM 1632.398438 1644774636.7115
MEM 1632.398438 1644774636.8206
MEM 1632.398438 1644774636.9307
MEM 1632.398438 1644774637.0428
MEM 1632.398438 1644774637.1529
MEM 1632.398438 1644774637.2650
MEM 1632.398438 1644774637.3771
MEM 1632.398438 1644774637.4892
MEM 1632.398438 1644774637.5983
MEM 1187.507812 1644774637.7094
MEM 98.496094 1644774637.8205
