CMDLINE python mtest_matplotlib.py
MEM 1.488281 1650176377.9221
MEM 19.066406 1650176378.0311
MEM 28.441406 1650176378.1421
MEM 36.394531 1650176378.2531
MEM 45.953125 1650176378.3641
MEM 60.140625 1650176378.4741
MEM 71.890625 1650176378.5861
MEM 96.703125 1650176378.6971
MEM 199.277344 1650176378.8091
MEM 228.734375 1650176378.9211
MEM 228.734375 1650176379.0311
MEM 228.734375 1650176379.1421
MEM 228.734375 1650176379.2531
MEM 228.882812 1650176379.3641
MEM 228.980469 1650176379.4761
MEM 228.980469 1650176379.5871
MEM 228.980469 1650176379.6981
MEM 228.980469 1650176379.8101
MEM 228.980469 1650176379.9221
MEM 236.878906 1650176380.0321
MEM 229.601562 1650176380.1441
MEM 229.601562 1650176380.2551
MEM 229.601562 1650176380.3651
MEM 229.601562 1650176380.4771
MEM 229.601562 1650176380.5881
MEM 229.601562 1650176380.6981
MEM 229.601562 1650176380.8091
MEM 229.601562 1650176380.9201
MEM 229.601562 1650176381.0311
MEM 229.601562 1650176381.1421
MEM 230.425781 1650176381.2531
MEM 327.656250 1650176381.3641
MEM 369.187500 1650176381.4751
MEM 369.187500 1650176381.5871
MEM 369.187500 1650176381.6981
MEM 369.187500 1650176381.8081
MEM 369.503906 1650176381.9201
MEM 369.992188 1650176382.0301
MEM 369.992188 1650176382.1411
MEM 369.992188 1650176382.2511
MEM 369.992188 1650176382.3621
MEM 369.992188 1650176382.4741
MEM 370.367188 1650176382.5841
MEM 370.367188 1650176382.6961
MEM 370.367188 1650176382.8071
MEM 370.367188 1650176382.9181
MEM 370.367188 1650176383.0291
MEM 370.367188 1650176383.1391
MEM 370.367188 1650176383.2501
MEM 370.367188 1650176383.3601
MEM 370.367188 1650176383.4721
MEM 370.367188 1650176383.5821
MEM 370.367188 1650176383.6931
MEM 384.203125 1650176383.8041
MEM 506.433594 1650176383.9141
MEM 508.246094 1650176384.0241
MEM 508.246094 1650176384.1361
MEM 508.246094 1650176384.2471
MEM 508.246094 1650176384.3581
MEM 509.320312 1650176384.4691
MEM 509.320312 1650176384.5791
MEM 509.320312 1650176384.6911
MEM 509.320312 1650176384.8031
MEM 516.964844 1650176384.9141
MEM 509.753906 1650176385.0251
MEM 509.753906 1650176385.1351
MEM 509.753906 1650176385.2471
MEM 509.753906 1650176385.3591
MEM 509.753906 1650176385.4711
MEM 509.753906 1650176385.5831
MEM 509.753906 1650176385.6951
MEM 509.753906 1650176385.8071
MEM 509.753906 1650176385.9171
MEM 509.753906 1650176386.0271
MEM 549.839844 1650176386.1381
MEM 649.171875 1650176386.2501
MEM 649.171875 1650176386.3601
MEM 649.171875 1650176386.4711
MEM 649.171875 1650176386.5831
MEM 649.179688 1650176386.6941
MEM 649.335938 1650176386.8041
MEM 649.335938 1650176386.9141
MEM 649.335938 1650176387.0261
MEM 649.335938 1650176387.1341
MEM 649.335938 1650176387.2443
MEM 657.015625 1650176387.3543
MEM 649.742188 1650176387.4654
MEM 649.742188 1650176387.5754
MEM 649.742188 1650176387.6848
MEM 649.742188 1650176387.7958
MEM 649.742188 1650176387.9029
MEM 649.742188 1650176388.0129
MEM 649.742188 1650176388.1189
MEM 649.742188 1650176388.2299
MEM 649.742188 1650176388.3378
MEM 649.742188 1650176388.4448
MEM 649.742188 1650176388.5528
MEM 696.558594 1650176388.6618
MEM 789.035156 1650176388.7698
MEM 789.035156 1650176388.8778
MEM 789.035156 1650176388.9878
MEM 789.035156 1650176389.0968
MEM 789.035156 1650176389.2058
MEM 789.308594 1650176389.3158
MEM 789.308594 1650176389.4218
MEM 789.308594 1650176389.5308
MEM 789.308594 1650176389.6408
MEM 789.308594 1650176389.7508
MEM 789.621094 1650176389.8608
MEM 789.621094 1650176389.9708
MEM 789.621094 1650176390.0799
MEM 789.621094 1650176390.1888
MEM 789.621094 1650176390.2988
MEM 789.621094 1650176390.4088
MEM 789.621094 1650176390.5189
MEM 789.621094 1650176390.6279
MEM 789.621094 1650176390.7359
MEM 789.621094 1650176390.8469
MEM 790.332031 1650176390.9563
MEM 886.312500 1650176391.0653
MEM 930.253906 1650176391.1744
MEM 930.253906 1650176391.2844
MEM 930.253906 1650176391.3944
MEM 930.261719 1650176391.5054
MEM 930.542969 1650176391.6164
MEM 930.542969 1650176391.7245
MEM 930.542969 1650176391.8315
MEM 930.542969 1650176391.9425
MEM 930.542969 1650176392.0525
MEM 930.851562 1650176392.1645
MEM 930.851562 1650176392.2755
MEM 930.851562 1650176392.3865
MEM 930.851562 1650176392.4965
MEM 930.851562 1650176392.6075
MEM 930.855469 1650176392.7195
MEM 930.855469 1650176392.8315
MEM 930.855469 1650176392.9415
MEM 930.855469 1650176393.0525
MEM 930.855469 1650176393.1635
MEM 1003.691406 1650176393.2735
MEM 1070.066406 1650176393.3845
MEM 1070.066406 1650176393.4965
MEM 1070.066406 1650176393.6065
MEM 1070.066406 1650176393.7175
MEM 1070.281250 1650176393.8275
MEM 1070.292969 1650176393.9385
MEM 1070.292969 1650176394.0485
MEM 1070.292969 1650176394.1595
MEM 1070.292969 1650176394.2706
MEM 1070.292969 1650176394.3815
MEM 1070.730469 1650176394.4925
MEM 1070.730469 1650176394.6045
MEM 1070.730469 1650176394.7165
MEM 1070.730469 1650176394.8275
MEM 1070.730469 1650176394.9375
MEM 1070.761719 1650176395.0495
MEM 1070.761719 1650176395.1585
MEM 1070.761719 1650176395.2675
MEM 1070.761719 1650176395.3775
MEM 1070.761719 1650176395.4885
MEM 1074.789062 1650176395.6005
MEM 1172.042969 1650176395.7105
MEM 1209.472656 1650176395.8215
MEM 1209.472656 1650176395.9325
