CMDLINE python mtest_dates_simpleplots.py
MEM 1.488281 1650190277.3026
MEM 18.429688 1650190277.4106
MEM 28.031250 1650190277.5166
MEM 35.257812 1650190277.6226
MEM 44.992188 1650190277.7296
MEM 81.394531 1650190277.8366
MEM 84.394531 1650190277.9431
MEM 92.144531 1650190278.0501
MEM 66.660156 1650190278.1561
MEM 85.265625 1650190278.2631
MEM 87.925781 1650190278.3701
MEM 57.484375 1650190278.4771
MEM 85.683594 1650190278.5841
MEM 88.640625 1650190278.6901
MEM 67.800781 1650190278.7971
MEM 85.683594 1650190278.9021
MEM 86.757812 1650190279.0081
MEM 56.484375 1650190279.1141
MEM 103.371094 1650190279.2201
MEM 85.785156 1650190279.3271
MEM 85.785156 1650190279.4341
MEM 96.199219 1650190279.5401
MEM 85.785156 1650190279.6461
MEM 85.785156 1650190279.7511
MEM 88.554688 1650190279.8561
MEM 85.785156 1650190279.9641
MEM 93.363281 1650190280.0701
MEM 86.035156 1650190280.1771
MEM 86.035156 1650190280.2841
MEM 93.363281 1650190280.3891
MEM 86.035156 1650190280.4941
MEM 86.035156 1650190280.6001
MEM 93.363281 1650190280.7061
MEM 86.035156 1650190280.8141
MEM 86.035156 1650190280.9201
MEM 93.363281 1650190281.0271
MEM 86.035156 1650190281.1351
MEM 86.035156 1650190281.2411
MEM 93.363281 1650190281.3481
MEM 86.035156 1650190281.4541
MEM 86.035156 1650190281.5611
MEM 93.363281 1650190281.6691
MEM 86.035156 1650190281.7761
MEM 86.035156 1650190281.8831
MEM 93.363281 1650190281.9921
MEM 86.035156 1650190282.0991
MEM 86.035156 1650190282.2071
MEM 93.363281 1650190282.3131
MEM 86.035156 1650190282.4201
MEM 86.035156 1650190282.5281
MEM 93.363281 1650190282.6351
MEM 86.035156 1650190282.7421
MEM 86.035156 1650190282.8491
MEM 93.363281 1650190282.9556
MEM 86.035156 1650190283.0656
MEM 86.035156 1650190283.1756
MEM 93.363281 1650190283.2856
MEM 86.035156 1650190283.3936
MEM 86.035156 1650190283.5026
MEM 93.363281 1650190283.6126
MEM 86.035156 1650190283.7226
MEM 86.035156 1650190283.8316
MEM 86.035156 1650190283.9416
MEM 92.683594 1650190284.0506
MEM 86.035156 1650190284.1576
MEM 86.035156 1650190284.2666
MEM 97.859375 1650190284.3746
MEM 86.035156 1650190284.4826
MEM 86.035156 1650190284.5906
MEM 104.656250 1650190284.6996
MEM 86.035156 1650190284.8076
MEM 86.035156 1650190284.9156
