CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_simpleplots.py
MEM 1.464844 1644774040.1825
MEM 18.855469 1644774040.2966
MEM 27.808594 1644774040.4067
MEM 34.437500 1644774040.5188
MEM 43.273438 1644774040.6299
MEM 85.742188 1644774040.7420
MEM 90.152344 1644774040.8531
MEM 84.300781 1644774040.9644
MEM 67.054688 1644774041.0747
MEM 101.957031 1644774041.1858
MEM 93.046875 1644774041.2969
MEM 90.230469 1644774041.4090
MEM 88.199219 1644774041.5211
MEM 78.960938 1644774041.6322
MEM 90.230469 1644774041.7443
MEM 109.402344 1644774041.8554
MEM 82.917969 1644774041.9675
MEM 93.554688 1644774042.0796
MEM 82.917969 1644774042.1899
MEM 90.246094 1644774042.3020
MEM 83.003906 1644774042.4115
MEM 82.917969 1644774042.5236
MEM 95.320312 1644774042.6347
MEM 82.917969 1644774042.7468
MEM 90.246094 1644774042.8589
MEM 83.003906 1644774042.9710
MEM 82.917969 1644774043.0831
MEM 96.609375 1644774043.1942
MEM 82.917969 1644774043.3063
MEM 90.246094 1644774043.4184
MEM 82.917969 1644774043.5295
MEM 70.585938 1644774043.6416
MEM 90.246094 1644774043.7537
MEM 105.554688 1644774043.8648
MEM 90.246094 1644774043.9748
MEM 90.105469 1644774044.0863
MEM 83.003906 1644774044.1968
MEM 90.246094 1644774044.3070
MEM 83.003906 1644774044.4171
MEM 82.917969 1644774044.5271
MEM 95.863281 1644774044.6393
MEM 94.828125 1644774044.7505
MEM 90.246094 1644774044.8626
MEM 83.105469 1644774044.9747
MEM 70.832031 1644774045.0858
MEM 90.246094 1644774045.1979
MEM 104.328125 1644774045.3070
MEM 90.246094 1644774045.4161
MEM 83.855469 1644774045.5252
MEM 72.945312 1644774045.6363
MEM 90.246094 1644774045.7484
MEM 88.894531 1644774045.8605
MEM 82.917969 1644774045.9726
MEM 94.183594 1644774046.0837
MEM 83.882812 1644774046.1958
MEM 90.246094 1644774046.3069
MEM 82.917969 1644774046.4170
MEM 64.214844 1644774046.5291
MEM 104.515625 1644774046.6402
MEM 103.480469 1644774046.7513
MEM 90.246094 1644774046.8614
MEM 88.710938 1644774046.9735
MEM 82.917969 1644774047.0853
MEM 90.246094 1644774047.1954
MEM 82.917969 1644774047.3045
MEM 82.917969 1644774047.4156
MEM 93.585938 1644774047.5267
MEM 82.917969 1644774047.6388
MEM 90.246094 1644774047.7509
MEM 82.917969 1644774047.8630
MEM 58.550781 1644774047.9741
MEM 103.875000 1644774048.0842
MEM 100.695312 1644774048.1943
MEM 90.246094 1644774048.3054
MEM 87.250000 1644774048.4165
MEM 82.917969 1644774048.5263
MEM 90.246094 1644774048.6374
MEM 82.917969 1644774048.7491
MEM 82.917969 1644774048.8592
MEM 90.242188 1644774048.9703
MEM 83.003906 1644774049.0824
MEM 90.246094 1644774049.1945
MEM 82.917969 1644774049.3066
MEM 55.003906 1644774049.4187
