CMDLINE python mtest_simpleplots.py
MEM 1.488281 1650175673.8534
MEM 17.644531 1650175673.9584
MEM 28.218750 1650175674.0694
MEM 36.332031 1650175674.1804
MEM 45.996094 1650175674.2914
MEM 69.742188 1650175674.4011
MEM 100.566406 1650175674.5121
MEM 83.843750 1650175674.6211
MEM 90.535156 1650175674.7321
MEM 83.207031 1650175674.8431
MEM 56.988281 1650175674.9551
MEM 99.656250 1650175675.0661
MEM 92.230469 1650175675.1781
MEM 90.542969 1650175675.2891
MEM 84.984375 1650175675.4011
MEM 67.812500 1650175675.5111
MEM 98.468750 1650175675.6221
MEM 83.269531 1650175675.7331
MEM 90.597656 1650175675.8441
MEM 83.269531 1650175675.9551
MEM 57.906250 1650175676.0651
MEM 97.054688 1650175676.1761
MEM 85.761719 1650175676.2871
MEM 90.597656 1650175676.3981
MEM 83.269531 1650175676.5081
MEM 64.898438 1650175676.6201
MEM 99.730469 1650175676.7321
MEM 88.058594 1650175676.8431
MEM 90.597656 1650175676.9541
MEM 83.269531 1650175677.0631
MEM 67.558594 1650175677.1741
MEM 104.812500 1650175677.2861
MEM 105.316406 1650175677.3981
MEM 90.597656 1650175677.5101
MEM 91.687500 1650175677.6211
MEM 83.355469 1650175677.7311
MEM 90.597656 1650175677.8431
MEM 83.269531 1650175677.9541
MEM 56.511719 1650175678.0641
MEM 99.679688 1650175678.1761
MEM 90.351562 1650175678.2871
MEM 90.597656 1650175678.3971
MEM 83.269531 1650175678.5081
MEM 62.835938 1650175678.6191
MEM 99.359375 1650175678.7301
MEM 91.843750 1650175678.8401
MEM 90.597656 1650175678.9511
MEM 83.269531 1650175679.0621
MEM 65.851562 1650175679.1731
MEM 99.171875 1650175679.2831
MEM 84.125000 1650175679.3941
MEM 90.597656 1650175679.5051
MEM 83.269531 1650175679.6161
MEM 61.312500 1650175679.7281
MEM 98.441406 1650175679.8381
MEM 93.503906 1650175679.9491
MEM 90.597656 1650175680.0601
MEM 84.687500 1650175680.1701
MEM 70.531250 1650175680.2811
MEM 103.789062 1650175680.3921
MEM 97.582031 1650175680.5021
MEM 90.597656 1650175680.6121
MEM 83.269531 1650175680.7201
MEM 65.015625 1650175680.8321
MEM 101.535156 1650175680.9421
MEM 104.070312 1650175681.0541
MEM 90.597656 1650175681.1641
MEM 87.980469 1650175681.2751
MEM 82.156250 1650175681.3871
MEM 90.597656 1650175681.4981
MEM 106.625000 1650175681.6101
MEM 83.269531 1650175681.7211
MEM 86.617188 1650175681.8301
MEM 78.457031 1650175681.9411
MEM 90.597656 1650175682.0521
MEM 107.332031 1650175682.1681
MEM 90.597656 1650175682.2751
MEM 85.339844 1650175682.3861
MEM 77.386719 1650175682.4961
MEM 90.597656 1650175682.6071
MEM 112.316406 1650175682.7181
MEM 83.269531 1650175682.8301
MEM 90.484375 1650175682.9391
MEM 83.355469 1650175683.0501
MEM 90.597656 1650175683.1591
MEM 83.355469 1650175683.2701
MEM 57.664062 1650175683.3821
MEM 98.000000 1650175683.4941
MEM 83.269531 1650175683.6041
MEM 90.597656 1650175683.7161
MEM 83.355469 1650175683.8271
MEM 83.269531 1650175683.9381
MEM 94.984375 1650175684.0471
MEM 83.269531 1650175684.1581
MEM 90.597656 1650175684.2691
MEM 83.269531 1650175684.3801
MEM 60.867188 1650175684.4911
MEM 98.597656 1650175684.6021
MEM 83.269531 1650175684.7121
