CMDLINE python mtest_dates_matplotlib.py
MEM 1.488281 1650190114.0228
MEM 19.351562 1650190114.1358
MEM 29.105469 1650190114.2448
MEM 37.988281 1650190114.3538
MEM 47.753906 1650190114.4628
MEM 62.382812 1650190114.5718
MEM 76.417969 1650190114.6818
MEM 95.429688 1650190114.7918
MEM 105.074219 1650190114.9018
MEM 114.640625 1650190115.0108
MEM 115.070312 1650190115.1188
MEM 124.261719 1650190115.2289
MEM 133.417969 1650190115.3388
MEM 133.828125 1650190115.4448
MEM 142.941406 1650190115.5548
MEM 152.171875 1650190115.6638
MEM 145.285156 1650190115.7728
MEM 161.683594 1650190115.8818
MEM 170.746094 1650190115.9898
MEM 163.628906 1650190116.0958
MEM 180.253906 1650190116.2048
MEM 101.203125 1650190116.3148
MEM 110.140625 1650190116.4228
MEM 118.476562 1650190116.5308
MEM 111.375000 1650190116.6398
MEM 127.437500 1650190116.7488
MEM 135.964844 1650190116.8578
MEM 128.839844 1650190116.9668
MEM 144.835938 1650190117.0768
MEM 153.339844 1650190117.1868
MEM 146.250000 1650190117.2968
MEM 162.335938 1650190117.4048
MEM 171.050781 1650190117.5158
MEM 163.949219 1650190117.6238
MEM 179.859375 1650190117.7318
MEM 186.593750 1650190117.8418
MEM 181.781250 1650190117.9508
MEM 198.285156 1650190118.0598
MEM 95.804688 1650190118.1668
MEM 112.324219 1650190118.2768
MEM 120.289062 1650190118.3848
MEM 113.074219 1650190118.4948
MEM 129.113281 1650190118.6038
MEM 137.542969 1650190118.7138
MEM 130.441406 1650190118.8238
MEM 146.566406 1650190118.9328
MEM 154.843750 1650190119.0408
MEM 147.792969 1650190119.1508
MEM 163.847656 1650190119.2608
MEM 172.710938 1650190119.3698
MEM 165.542969 1650190119.4778
MEM 181.386719 1650190119.5878
MEM 189.800781 1650190119.6958
MEM 182.796875 1650190119.8058
MEM 198.949219 1650190119.9148
MEM 96.218750 1650190120.0228
MEM 112.636719 1650190120.1298
MEM 117.187500 1650190120.2388
MEM 114.281250 1650190120.3478
MEM 129.683594 1650190120.4578
MEM 138.125000 1650190120.5668
MEM 131.023438 1650190120.6758
MEM 146.816406 1650190120.7838
MEM 147.570312 1650190120.8918
MEM 148.136719 1650190121.0018
MEM 164.226562 1650190121.1108
MEM 165.687500 1650190121.2198
MEM 165.667969 1650190121.3278
MEM 181.812500 1650190121.4378
MEM 182.546875 1650190121.5478
